=== Starting benchmark=tpch, DB=mssql, queries=9~10, repeat=10 ===
Running tpch Query 9 for 10 runs...
[ERROR] Query 9, run 1: (pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 17 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)
Query 9, run 2: 108.665 sec
Query 9, run 3: 0.610 sec
Query 9, run 4: 0.666 sec
Query 9, run 5: 0.664 sec
Query 9, run 6: 0.594 sec
Query 9, run 7: 0.720 sec
Query 9, run 8: 0.602 sec
Query 9, run 9: 0.639 sec
Query 9, run 10: 0.518 sec
Running tpch Query 10 for 10 runs...
Query 10, run 1: 1.409 sec
Query 10, run 2: 0.328 sec
Query 10, run 3: 0.361 sec
Query 10, run 4: 0.349 sec
Query 10, run 5: 0.358 sec
Query 10, run 6: 0.300 sec
Query 10, run 7: 0.295 sec
Query 10, run 8: 0.313 sec
Query 10, run 9: 0.291 sec
Query 10, run 10: 0.293 sec

All done! Results saved to /mnt/results/batch_5.csv

