=== Starting benchmark=tpch, DB=mssql, queries=11~12, repeat=10 ===
Running tpch Query 11 for 10 runs...
[ERROR] Query 11, run 1: (pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 17 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)
Query 11, run 2: 20.120 sec
Query 11, run 3: 0.266 sec
Query 11, run 4: 0.261 sec
Query 11, run 5: 0.460 sec
Query 11, run 6: 0.480 sec
Query 11, run 7: 0.509 sec
Query 11, run 8: 0.709 sec
Query 11, run 9: 0.467 sec
Query 11, run 10: 0.458 sec
Running tpch Query 12 for 10 runs...
Query 12, run 1: 66.923 sec
Query 12, run 2: 0.361 sec
Query 12, run 3: 0.301 sec
Query 12, run 4: 0.278 sec
Query 12, run 5: 0.265 sec
Query 12, run 6: 0.233 sec
Query 12, run 7: 0.242 sec
Query 12, run 8: 0.254 sec
Query 12, run 9: 0.232 sec
Query 12, run 10: 0.225 sec

All done! Results saved to /mnt/results/batch_6.csv

